system,device,version,precision,matrix_size,k,kernel,time
devcloud,i9-10920X,base_code,simple,5000x38,4,Matrix X Matrix,0.152558
devcloud,i9-10920X,base_code,simple,5000x38,4,Division,0.482
devcloud,i9-10920X,base_code,simple,5000x38,4,Reduction,0.018462
devcloud,i9-10920X,base_code,simple,5000x38,4,Mult elem by elem,0.030001
devcloud,i9-10920X,sycl,simple,54675x1973,4,Gemm,217.407
devcloud,i9-10920X,sycl,simple,54675x1973,4,Division,162.216
devcloud,i9-10920X,sycl,simple,54675x1973,4,Reduction,0.753717
devcloud,i9-10920X,sycl,simple,54675x1973,4,Dot product,0.499045
devcloud,i9-10920X,openmp,simple,5000x38,4,Gemm,2.5197
devcloud,i9-10920X,openmp,simple,5000x38,4,Division,0.217763
devcloud,i9-10920X,openmp,simple,5000x38,4,Reduction,3.06076
devcloud,i9-10920X,openmp,simple,5000x38,4,Dot product,0.161628
devcloud,i9-10920X,base_code,simple,54675x1973,4,Gemm,220.131
devcloud,i9-10920X,base_code,simple,54675x1973,4,Division,363.249
devcloud,i9-10920X,base_code,simple,54675x1973,4,Reduction,0.288252
devcloud,i9-10920X,base_code,simple,54675x1973,4,Dot product,0.545403
devcloud,dg1,sycl,simple,16063x280,4,Gemm,6.27196
devcloud,dg1,sycl,simple,16063x280,4,Division,3.78581
devcloud,dg1,sycl,simple,16063x280,4,Reduction,0.671633
devcloud,dg1,sycl,simple,16063x280,4,Dot product,0.369576
devcloud,dg1,openmp,simple,5000x38,4,Gemm,2.52496
devcloud,dg1,openmp,simple,5000x38,4,Division,0.21654
devcloud,dg1,openmp,simple,5000x38,4,Reduction,3.08945
devcloud,dg1,openmp,simple,5000x38,4,Dot product,0.152632
devcloud,i9-10920X,sycl,simple,16063x280,4,Gemm,2.65872
devcloud,i9-10920X,sycl,simple,16063x280,4,Division,2.69629
devcloud,i9-10920X,sycl,simple,16063x280,4,Reduction,0.185223
devcloud,i9-10920X,sycl,simple,16063x280,4,Dot product,0.340649
devcloud,dg1,sycl,simple,5000x38,4,Gemm,1.60702
devcloud,dg1,sycl,simple,5000x38,4,Division,0.293014
devcloud,dg1,sycl,simple,5000x38,4,Reduction,0.429348
devcloud,dg1,sycl,simple,5000x38,4,Dot product,0.277354
devcloud,i9-10920X,sycl,simple,5000x38,4,Gemm,0.230659
devcloud,i9-10920X,sycl,simple,5000x38,4,Division,0.18551
devcloud,i9-10920X,sycl,simple,5000x38,4,Reduction,0.051953
devcloud,i9-10920X,sycl,simple,5000x38,4,Dot product,0.134693
devcloud,i9-10920X,openmp,simple,54675x1973,4,Gemm,216.484
devcloud,i9-10920X,openmp,simple,54675x1973,4,Division,164.278
devcloud,i9-10920X,openmp,simple,54675x1973,4,Reduction,0.500899
devcloud,i9-10920X,openmp,simple,54675x1973,4,Dot product,0.136581
devcloud,i9-10920X,openmp,simple,16063x280,4,Gemm,2.5903
devcloud,i9-10920X,openmp,simple,16063x280,4,Division,2.82331
devcloud,i9-10920X,openmp,simple,16063x280,4,Reduction,0.196894
devcloud,i9-10920X,openmp,simple,16063x280,4,Dot product,0.138453
devcloud,i9-10920X,base_code,simple,16063x280,4,Gemm,2.10236
devcloud,i9-10920X,base_code,simple,16063x280,4,Division,16.0032
devcloud,i9-10920X,base_code,simple,16063x280,4,Reduction,0.080089
devcloud,i9-10920X,base_code,simple,16063x280,4,Dot product,0.152103
devcloud,dg1,sycl,simple,54675x1973,4,Gemm,118.994
devcloud,dg1,sycl,simple,54675x1973,4,Division,92.0926
devcloud,dg1,sycl,simple,54675x1973,4,Reduction,1.27643
devcloud,dg1,sycl,simple,54675x1973,4,Dot product,0.419335
devcloud,dg1,openmp,simple,16063x280,4,Gemm,7.54141
